country,gold,silver,bronze,total
UNKNOWN,1,15,44,77
FR Germany,289,218,198,1501
Sweden,190,205,143,1123
Belgium,79,73,70,453
Great Britain,439,502,483,2804
Netherlands,189,239,237,1282
France,382,380,416,2322
Australia,361,403,336,2225
Korea,159,137,151,902
Finland,63,77,102,445
Italy,81,132,160,667
Japan,92,104,146,630
Germany,270,306,282,1704
Spain,208,226,234,1310
Poland,231,266,232,1457
United States of America,701,572,628,3875
China,659,394,266,3031
Czech Republic,45,58,65,316
Russia,93,84,87,534
Iran,116,54,41,497
Mexico,84,81,94,508
Denmark,89,72,107,518
Canada,416,311,303,2173
Switzerland,85,99,78,531
Portugal,20,18,31,127
Ireland,48,43,77,307
Austria,73,99,84,501
Hong Kong,66,53,79,383
Thailand,25,37,27,176
Belarus,32,33,35,197
Cuba,33,23,20,165
Venezuela,0,8,11,27
Ukraine,124,111,154,748
Tunisia,42,33,23,215
Brazil,79,133,114,617
Azerbaijan,4,14,10,50
South Africa,76,49,47,373
Uzbekistan,5,5,13,38
Colombia,3,8,12,37
Israel,63,79,63,410
Hungary,41,69,65,326
New Zealand,66,45,47,335
Czech Republic,45,58,65,316
Kuwait,12,16,20,88
Yugoslavia,24,26,33,157
Norway,85,88,84,515
USSR,21,20,15,118
Jamaica,10,12,16,70
Slovakia,23,36,38,179
Chinese Taipei,4,14,29,69
Nigeria,42,18,18,180
Jordan,2,7,16,36
Turkey,5,11,11,48
Croatia,6,8,9,43
Serbia,7,15,10,61
Bosnia and Herzegovina,23,36,0,141
Egypt,44,59,84,334
-,16,13,13,87
Mongolia,1,0,1,4
Malaysia,3,1,4,15
Greece,18,35,36,160
Luxembourg,1,4,1,12
Sudan,1,0,0,3
Kenya,18,15,13,97
Bahamas,0,2,3,7
Argentina,8,22,21,89
Zimbabwe,2,8,5,27
Bahrain,2,3,5,17
Iceland,15,13,35,106
Burma,1,2,1,8
East Germany,0,3,1,7
India,3,4,4,21
Trinidad and Tobago,3,1,2,13
Indonesia,0,2,3,7
Bulgaria,5,7,3,32
Puerto Rico,1,2,2,9
Panama,3,4,1,18
Slovenia,4,4,9,29
Iraq,3,6,4,25
Lithuania,5,10,13,48
Estonia,4,8,7,35
Serbia,7,15,10,61
Algeria,20,18,27,123
Uruguay,0,0,1,1
Dominican Republic,1,0,0,3
C̫te Ivoire,3,1,1,12
Moldova,0,0,3,3
United Arab Emirates,3,7,5,28
Latvia,5,4,6,29
Palestine,0,1,2,4
Angola,4,3,1,19
Rwanda,0,0,1,1
Morocco,12,7,8,58
Serbia,7,15,10,61
Botswana,1,0,0,3
Papua New Guinea,0,1,0,2
Cyprus,2,3,1,13
Saudi Arabia,1,2,1,8
Pakistan,0,1,1,3
Namibia,2,3,3,15
Sri Lanka,0,0,2,2
Ethiopia,0,2,0,4
Chile,1,0,0,3
Fiji,1,0,0,3
Cabo Verde,0,0,1,1
Uganda,0,1,0,2
Qatar,0,2,0,4
Vietnam,1,1,2,7
Mozambique,0,0,1,1
Libya,0,0,1,1
Philippines,0,0,3,3
Laos,0,0,1,1
Syria,0,0,1,1
Kazakhstan,1,1,0,5
Faroe Islands,1,7,5,22
Peru,2,1,2,10
Singapore,3,1,1,12
