year,country,longitude,latitude,value
0.0,Denmark,9.501785,56.26392,B
0.0,FR Germany,10.451526,51.165691,G
0.0,Canada,-106.346771,56.130366,G
0.0,Mexico,-102.552784,23.634501,S
0.0,Finland,25.748151,61.92411,S
0.0,France,2.213749,46.227638,B
0.0,Korea,127.766922,35.907757,0
0.0,Norway,8.468946,60.472024,S
0.0,New Zealand,174.885971,-40.900557,G
0.0,Japan,138.252924,36.204824,B
0.0,Austria,14.550072,47.516231,0
0.0,United States of America,-95.712891,37.09024,G
0.0,Belgium,4.469936,50.503887,B
0.0,Great Britain,-3.435973,55.378051,G
0.0,Sweden,18.643501,60.128161,S
0.0,Switzerland,8.227512,46.818188,S
0.0,Italy,12.56738,41.87194,0
0.0,-,123.0,48.0,0
0.0,Germany,10.451526,51.165691,0
0.0,Poland,19.145136,51.919438,G
0.0,Czech Republic,15.472962,49.817492,S
0.0,Slovakia,19.699024,48.669026,0
0.0,China,104.195397,35.86166,0
0.0,Mongolia,103.846656,46.862496,0
0.0,Turkey,35.243322,38.963745,0
0.0,Russia,105.318756,61.52401,0
0.0,Iran,53.688046,32.427908,0
0.0,Australia,133.775136,-25.274398,S
0.0,Egypt,30.802498,26.820553,S
0.0,Netherlands,5.291266,52.132633,G
0.0,Sudan,30.217636,12.862807,0
0.0,Jamaica,-77.297508,18.109581,S
0.0,Kuwait,47.481766,29.31166,0
0.0,Kenya,37.906193,-0.023559,0
0.0,Israel,34.851612,31.046051,G
0.0,Ireland,-8.24389,53.41291,0
0.0,Portugal,-8.224454,39.399872,0
0.0,Yugoslavia,21.005859,44.016521,S
0.0,Burma,95.956223,21.913965,0
0.0,Hungary,19.503304,47.162494,0
0.0,Brazil,-51.92528,-14.235004,0
0.0,Spain,-3.74922,40.463667,S
0.0,Hong Kong,114.109497,22.396428,0
0.0,Trinidad and Tobago,-61.222503,10.691803,0
0.0,USSR,105.318756,61.52401,0
0.0,Iceland,-19.020835,64.963051,G
0.0,Bahrain,50.637772,25.930414,0
0.0,Bulgaria,25.48583,42.733883,0
0.0,Puerto Rico,-66.590149,18.220833,0
0.0,Nigeria,8.675277,9.081999,0
0.0,South Africa,22.937506,-30.559482,0
0.0,Cuba,-77.781167,21.521757,0
0.0,Panama,-80.782127,8.537981,0
0.0,Slovenia,14.995463,46.151241,0
0.0,Argentina,-63.616672,-38.416097,G
0.0,Serbia,21.005859,44.016521,0
0.0,Algeria,1.659626,28.033886,0
0.0,Dominican Republic,-70.162651,18.735693,0
0.0,Côte Ivoire,-5.54708,7.539989,0
0.0,Belarus,27.953389,53.709807,0
0.0,Ukraine,31.16558,48.379433,0
0.0,Greece,21.824312,39.074208,0
0.0,Estonia,25.013607,58.595272,0
0.0,Lithuania,23.881275,55.169438,0
0.0,Zimbabwe,29.154857,-19.015438,B
0.0,Thailand,100.992541,15.870032,0
0.0,Tunisia,9.537499,33.886917,0
0.0,Chinese Taipei,120.960515,23.69781,0
0.0,Angola,17.873887,-11.202692,0
0.0,Morocco,-7.09262,31.791702,0
0.0,Azerbaijan,47.576927,40.143105,0
0.0,Latvia,24.603189,56.879635,0
0.0,India,78.96288,20.593684,0
0.0,Botswana,24.684866,-22.328474,0
0.0,Saudi Arabia,45.079162,23.885942,0
0.0,Croatia,15.2,45.1,0
0.0,Chile,-71.542969,-35.675147,0
0.0,Fiji,179.414413,-16.578193,0
0.0,Namibia,18.49041,-22.95764,0
0.0,Malaysia,101.975766,4.210484,0
0.0,United Arab Emirates,53.847818,23.424076,0
0.0,Iraq,43.679291,33.223191,0
0.0,Uzbekistan,64.585262,41.377491,0
0.0,Colombia,-74.297333,4.570868,G
0.0,Vietnam,108.277199,14.058324,0
0.0,UNKNOWN,123.0,48.0,B
0.0,Luxembourg,6.129583,49.815273,0
0.0,Faroe Islands,-6.911806,61.892635,0
0.0,Peru,-75.015152,-9.189967,0
0.0,Cyprus,33.429859,35.126413,0
0.0,Singapore,103.819836,1.352083,0
0.0,Kazakhstan,66.923684,48.019573,0
0.0,Jordan,36.238414,30.585164,0
0.0,Bosnia and Herzegovina,17.679076,43.915886,0
0.0,Bahamas,-77.39628,25.03428,B
0.0,East Germany,10.451526,51.165691,0
0.0,Indonesia,113.921327,-0.789275,0
0.0,Venezuela,-66.58973,6.42375,0
0.0,Palestine,35.233154,31.952162,0
0.0,Papua New Guinea,143.95555,-6.314993,0
0.0,Pakistan,69.345116,30.375321,0
0.0,Ethiopia,40.489673,9.145,0
0.0,Uganda,32.290275,1.373333,0
0.0,Qatar,51.183884,25.354826,0
0.0,Uruguay,-55.765835,-32.522779,0
0.0,Moldova,28.369885,47.411631,0
0.0,Rwanda,29.873888,-1.940278,0
0.0,Sri Lanka,80.771797,7.873054,0
0.0,Cabo Verde,-24.013197,16.002082,0
0.0,Mozambique,35.529562,-18.665695,0
0.0,Libya,17.228331,26.3351,0
0.0,Philippines,121.774017,12.879721,0
0.0,Laos,102.495496,19.85627,0
0.0,Syria,38.996815,34.802075,0
1.0,Denmark,9.501785,56.26392,B
1.0,FR Germany,10.451526,51.165691,S
1.0,Canada,-106.346771,56.130366,S
1.0,Mexico,-102.552784,23.634501,0
1.0,Finland,25.748151,61.92411,B
1.0,France,2.213749,46.227638,G
1.0,Korea,127.766922,35.907757,0
1.0,Norway,8.468946,60.472024,B
1.0,New Zealand,174.885971,-40.900557,S
1.0,Japan,138.252924,36.204824,B
1.0,Austria,14.550072,47.516231,G
1.0,United States of America,-95.712891,37.09024,B
1.0,Belgium,4.469936,50.503887,S
1.0,Great Britain,-3.435973,55.378051,B
1.0,Sweden,18.643501,60.128161,G
1.0,Switzerland,8.227512,46.818188,S
1.0,Italy,12.56738,41.87194,S
1.0,-,123.0,48.0,0
1.0,Germany,10.451526,51.165691,0
1.0,Poland,19.145136,51.919438,G
1.0,Czech Republic,15.472962,49.817492,0
1.0,Slovakia,19.699024,48.669026,0
1.0,China,104.195397,35.86166,S
1.0,Mongolia,103.846656,46.862496,0
1.0,Turkey,35.243322,38.963745,0
1.0,Russia,105.318756,61.52401,0
1.0,Iran,53.688046,32.427908,0
1.0,Australia,133.775136,-25.274398,S
1.0,Egypt,30.802498,26.820553,B
1.0,Netherlands,5.291266,52.132633,G
1.0,Sudan,30.217636,12.862807,0
1.0,Jamaica,-77.297508,18.109581,0
1.0,Kuwait,47.481766,29.31166,B
1.0,Kenya,37.906193,-0.023559,0
1.0,Israel,34.851612,31.046051,S
1.0,Ireland,-8.24389,53.41291,G
1.0,Portugal,-8.224454,39.399872,0
1.0,Yugoslavia,21.005859,44.016521,B
1.0,Burma,95.956223,21.913965,0
1.0,Hungary,19.503304,47.162494,G
1.0,Brazil,-51.92528,-14.235004,S
1.0,Spain,-3.74922,40.463667,G
1.0,Hong Kong,114.109497,22.396428,B
1.0,Trinidad and Tobago,-61.222503,10.691803,B
1.0,USSR,105.318756,61.52401,0
1.0,Iceland,-19.020835,64.963051,B
1.0,Bahrain,50.637772,25.930414,0
1.0,Bulgaria,25.48583,42.733883,0
1.0,Puerto Rico,-66.590149,18.220833,0
1.0,Nigeria,8.675277,9.081999,0
1.0,South Africa,22.937506,-30.559482,0
1.0,Cuba,-77.781167,21.521757,0
1.0,Panama,-80.782127,8.537981,0
1.0,Slovenia,14.995463,46.151241,0
1.0,Argentina,-63.616672,-38.416097,0
1.0,Serbia,21.005859,44.016521,0
1.0,Algeria,1.659626,28.033886,0
1.0,Dominican Republic,-70.162651,18.735693,0
1.0,Côte Ivoire,-5.54708,7.539989,0
1.0,Belarus,27.953389,53.709807,0
1.0,Ukraine,31.16558,48.379433,0
1.0,Greece,21.824312,39.074208,0
1.0,Estonia,25.013607,58.595272,0
1.0,Lithuania,23.881275,55.169438,0
1.0,Zimbabwe,29.154857,-19.015438,0
1.0,Thailand,100.992541,15.870032,0
1.0,Tunisia,9.537499,33.886917,0
1.0,Chinese Taipei,120.960515,23.69781,0
1.0,Angola,17.873887,-11.202692,0
1.0,Morocco,-7.09262,31.791702,0
1.0,Azerbaijan,47.576927,40.143105,0
1.0,Latvia,24.603189,56.879635,0
1.0,India,78.96288,20.593684,0
1.0,Botswana,24.684866,-22.328474,0
1.0,Saudi Arabia,45.079162,23.885942,0
1.0,Croatia,15.2,45.1,0
1.0,Chile,-71.542969,-35.675147,0
1.0,Fiji,179.414413,-16.578193,0
1.0,Namibia,18.49041,-22.95764,0
1.0,Malaysia,101.975766,4.210484,0
1.0,United Arab Emirates,53.847818,23.424076,0
1.0,Iraq,43.679291,33.223191,0
1.0,Uzbekistan,64.585262,41.377491,0
1.0,Colombia,-74.297333,4.570868,0
1.0,Vietnam,108.277199,14.058324,0
1.0,UNKNOWN,123.0,48.0,B
1.0,Luxembourg,6.129583,49.815273,S
1.0,Faroe Islands,-6.911806,61.892635,0
1.0,Peru,-75.015152,-9.189967,0
1.0,Cyprus,33.429859,35.126413,0
1.0,Singapore,103.819836,1.352083,0
1.0,Kazakhstan,66.923684,48.019573,0
1.0,Jordan,36.238414,30.585164,0
1.0,Bosnia and Herzegovina,17.679076,43.915886,0
1.0,Bahamas,-77.39628,25.03428,0
1.0,East Germany,10.451526,51.165691,0
1.0,Indonesia,113.921327,-0.789275,0
1.0,Venezuela,-66.58973,6.42375,0
1.0,Palestine,35.233154,31.952162,0
1.0,Papua New Guinea,143.95555,-6.314993,0
1.0,Pakistan,69.345116,30.375321,0
1.0,Ethiopia,40.489673,9.145,0
1.0,Uganda,32.290275,1.373333,0
1.0,Qatar,51.183884,25.354826,0
1.0,Uruguay,-55.765835,-32.522779,0
1.0,Moldova,28.369885,47.411631,0
1.0,Rwanda,29.873888,-1.940278,0
1.0,Sri Lanka,80.771797,7.873054,0
1.0,Cabo Verde,-24.013197,16.002082,0
1.0,Mozambique,35.529562,-18.665695,0
1.0,Libya,17.228331,26.3351,0
1.0,Philippines,121.774017,12.879721,0
1.0,Laos,102.495496,19.85627,0
1.0,Syria,38.996815,34.802075,0
2.0,Denmark,9.501785,56.26392,B
2.0,FR Germany,10.451526,51.165691,G
2.0,Canada,-106.346771,56.130366,G
2.0,Mexico,-102.552784,23.634501,G
2.0,Finland,25.748151,61.92411,S
2.0,France,2.213749,46.227638,B
2.0,Korea,127.766922,35.907757,B
2.0,Norway,8.468946,60.472024,G
2.0,New Zealand,174.885971,-40.900557,B
2.0,Japan,138.252924,36.204824,B
2.0,Austria,14.550072,47.516231,S
2.0,United States of America,-95.712891,37.09024,G
2.0,Belgium,4.469936,50.503887,G
2.0,Great Britain,-3.435973,55.378051,S
2.0,Sweden,18.643501,60.128161,G
2.0,Switzerland,8.227512,46.818188,B
2.0,Italy,12.56738,41.87194,B
2.0,-,123.0,48.0,0
2.0,Germany,10.451526,51.165691,0
2.0,Poland,19.145136,51.919438,S
2.0,Czech Republic,15.472962,49.817492,0
2.0,Slovakia,19.699024,48.669026,0
2.0,China,104.195397,35.86166,G
2.0,Mongolia,103.846656,46.862496,0
2.0,Turkey,35.243322,38.963745,0
2.0,Russia,105.318756,61.52401,0
2.0,Iran,53.688046,32.427908,0
2.0,Australia,133.775136,-25.274398,B
2.0,Egypt,30.802498,26.820553,B
2.0,Netherlands,5.291266,52.132633,G
2.0,Sudan,30.217636,12.862807,0
2.0,Jamaica,-77.297508,18.109581,0
2.0,Kuwait,47.481766,29.31166,0
2.0,Kenya,37.906193,-0.023559,0
2.0,Israel,34.851612,31.046051,G
2.0,Ireland,-8.24389,53.41291,B
2.0,Portugal,-8.224454,39.399872,0
2.0,Yugoslavia,21.005859,44.016521,B
2.0,Burma,95.956223,21.913965,0
2.0,Hungary,19.503304,47.162494,B
2.0,Brazil,-51.92528,-14.235004,B
2.0,Spain,-3.74922,40.463667,G
2.0,Hong Kong,114.109497,22.396428,0
2.0,Trinidad and Tobago,-61.222503,10.691803,0
2.0,USSR,105.318756,61.52401,S
2.0,Iceland,-19.020835,64.963051,B
2.0,Bahrain,50.637772,25.930414,0
2.0,Bulgaria,25.48583,42.733883,0
2.0,Puerto Rico,-66.590149,18.220833,0
2.0,Nigeria,8.675277,9.081999,0
2.0,South Africa,22.937506,-30.559482,0
2.0,Cuba,-77.781167,21.521757,0
2.0,Panama,-80.782127,8.537981,0
2.0,Slovenia,14.995463,46.151241,0
2.0,Argentina,-63.616672,-38.416097,S
2.0,Serbia,21.005859,44.016521,0
2.0,Algeria,1.659626,28.033886,0
2.0,Dominican Republic,-70.162651,18.735693,0
2.0,Côte Ivoire,-5.54708,7.539989,0
2.0,Belarus,27.953389,53.709807,0
2.0,Ukraine,31.16558,48.379433,0
2.0,Greece,21.824312,39.074208,S
2.0,Estonia,25.013607,58.595272,0
2.0,Lithuania,23.881275,55.169438,0
2.0,Zimbabwe,29.154857,-19.015438,0
2.0,Thailand,100.992541,15.870032,0
2.0,Tunisia,9.537499,33.886917,0
2.0,Chinese Taipei,120.960515,23.69781,0
2.0,Angola,17.873887,-11.202692,0
2.0,Morocco,-7.09262,31.791702,B
2.0,Azerbaijan,47.576927,40.143105,0
2.0,Latvia,24.603189,56.879635,0
2.0,India,78.96288,20.593684,0
2.0,Botswana,24.684866,-22.328474,0
2.0,Saudi Arabia,45.079162,23.885942,0
2.0,Croatia,15.2,45.1,0
2.0,Chile,-71.542969,-35.675147,0
2.0,Fiji,179.414413,-16.578193,0
2.0,Namibia,18.49041,-22.95764,0
2.0,Malaysia,101.975766,4.210484,0
2.0,United Arab Emirates,53.847818,23.424076,0
2.0,Iraq,43.679291,33.223191,0
2.0,Uzbekistan,64.585262,41.377491,0
2.0,Colombia,-74.297333,4.570868,0
2.0,Vietnam,108.277199,14.058324,0
2.0,UNKNOWN,123.0,48.0,0
2.0,Luxembourg,6.129583,49.815273,0
2.0,Faroe Islands,-6.911806,61.892635,S
2.0,Peru,-75.015152,-9.189967,0
2.0,Cyprus,33.429859,35.126413,0
2.0,Singapore,103.819836,1.352083,0
2.0,Kazakhstan,66.923684,48.019573,0
2.0,Jordan,36.238414,30.585164,0
2.0,Bosnia and Herzegovina,17.679076,43.915886,0
2.0,Bahamas,-77.39628,25.03428,0
2.0,East Germany,10.451526,51.165691,0
2.0,Indonesia,113.921327,-0.789275,0
2.0,Venezuela,-66.58973,6.42375,0
2.0,Palestine,35.233154,31.952162,0
2.0,Papua New Guinea,143.95555,-6.314993,0
2.0,Pakistan,69.345116,30.375321,0
2.0,Ethiopia,40.489673,9.145,0
2.0,Uganda,32.290275,1.373333,0
2.0,Qatar,51.183884,25.354826,0
2.0,Uruguay,-55.765835,-32.522779,0
2.0,Moldova,28.369885,47.411631,0
2.0,Rwanda,29.873888,-1.940278,0
2.0,Sri Lanka,80.771797,7.873054,0
2.0,Cabo Verde,-24.013197,16.002082,0
2.0,Mozambique,35.529562,-18.665695,0
2.0,Libya,17.228331,26.3351,0
2.0,Philippines,121.774017,12.879721,0
2.0,Laos,102.495496,19.85627,0
2.0,Syria,38.996815,34.802075,0
3.0,Denmark,9.501785,56.26392,S
3.0,FR Germany,10.451526,51.165691,0
3.0,Canada,-106.346771,56.130366,B
3.0,Mexico,-102.552784,23.634501,B
3.0,Finland,25.748151,61.92411,B
3.0,France,2.213749,46.227638,G
3.0,Korea,127.766922,35.907757,0
3.0,Norway,8.468946,60.472024,G
3.0,New Zealand,174.885971,-40.900557,G
3.0,Japan,138.252924,36.204824,B
3.0,Austria,14.550072,47.516231,0
3.0,United States of America,-95.712891,37.09024,G
3.0,Belgium,4.469936,50.503887,S
3.0,Great Britain,-3.435973,55.378051,S
3.0,Sweden,18.643501,60.128161,S
3.0,Switzerland,8.227512,46.818188,B
3.0,Italy,12.56738,41.87194,G
3.0,-,123.0,48.0,B
3.0,Germany,10.451526,51.165691,G
3.0,Poland,19.145136,51.919438,S
3.0,Czech Republic,15.472962,49.817492,0
3.0,Slovakia,19.699024,48.669026,0
3.0,China,104.195397,35.86166,B
3.0,Mongolia,103.846656,46.862496,0
3.0,Turkey,35.243322,38.963745,0
3.0,Russia,105.318756,61.52401,0
3.0,Iran,53.688046,32.427908,0
3.0,Australia,133.775136,-25.274398,G
3.0,Egypt,30.802498,26.820553,B
3.0,Netherlands,5.291266,52.132633,S
3.0,Sudan,30.217636,12.862807,0
3.0,Jamaica,-77.297508,18.109581,0
3.0,Kuwait,47.481766,29.31166,0
3.0,Kenya,37.906193,-0.023559,0
3.0,Israel,34.851612,31.046051,B
3.0,Ireland,-8.24389,53.41291,S
3.0,Portugal,-8.224454,39.399872,B
3.0,Yugoslavia,21.005859,44.016521,0
3.0,Burma,95.956223,21.913965,0
3.0,Hungary,19.503304,47.162494,G
3.0,Brazil,-51.92528,-14.235004,B
3.0,Spain,-3.74922,40.463667,B
3.0,Hong Kong,114.109497,22.396428,0
3.0,Trinidad and Tobago,-61.222503,10.691803,0
3.0,USSR,105.318756,61.52401,0
3.0,Iceland,-19.020835,64.963051,B
3.0,Bahrain,50.637772,25.930414,0
3.0,Bulgaria,25.48583,42.733883,0
3.0,Puerto Rico,-66.590149,18.220833,0
3.0,Nigeria,8.675277,9.081999,0
3.0,South Africa,22.937506,-30.559482,G
3.0,Cuba,-77.781167,21.521757,S
3.0,Panama,-80.782127,8.537981,0
3.0,Slovenia,14.995463,46.151241,0
3.0,Argentina,-63.616672,-38.416097,0
3.0,Serbia,21.005859,44.016521,G
3.0,Algeria,1.659626,28.033886,0
3.0,Dominican Republic,-70.162651,18.735693,0
3.0,Côte Ivoire,-5.54708,7.539989,0
3.0,Belarus,27.953389,53.709807,0
3.0,Ukraine,31.16558,48.379433,0
3.0,Greece,21.824312,39.074208,0
3.0,Estonia,25.013607,58.595272,S
3.0,Lithuania,23.881275,55.169438,0
3.0,Zimbabwe,29.154857,-19.015438,0
3.0,Thailand,100.992541,15.870032,0
3.0,Tunisia,9.537499,33.886917,0
3.0,Chinese Taipei,120.960515,23.69781,0
3.0,Angola,17.873887,-11.202692,0
3.0,Morocco,-7.09262,31.791702,0
3.0,Azerbaijan,47.576927,40.143105,0
3.0,Latvia,24.603189,56.879635,0
3.0,India,78.96288,20.593684,0
3.0,Botswana,24.684866,-22.328474,0
3.0,Saudi Arabia,45.079162,23.885942,0
3.0,Croatia,15.2,45.1,0
3.0,Chile,-71.542969,-35.675147,0
3.0,Fiji,179.414413,-16.578193,0
3.0,Namibia,18.49041,-22.95764,0
3.0,Malaysia,101.975766,4.210484,0
3.0,United Arab Emirates,53.847818,23.424076,0
3.0,Iraq,43.679291,33.223191,0
3.0,Uzbekistan,64.585262,41.377491,0
3.0,Colombia,-74.297333,4.570868,0
3.0,Vietnam,108.277199,14.058324,0
3.0,UNKNOWN,123.0,48.0,0
3.0,Luxembourg,6.129583,49.815273,0
3.0,Faroe Islands,-6.911806,61.892635,S
3.0,Peru,-75.015152,-9.189967,0
3.0,Cyprus,33.429859,35.126413,0
3.0,Singapore,103.819836,1.352083,0
3.0,Kazakhstan,66.923684,48.019573,0
3.0,Jordan,36.238414,30.585164,0
3.0,Bosnia and Herzegovina,17.679076,43.915886,0
3.0,Bahamas,-77.39628,25.03428,0
3.0,East Germany,10.451526,51.165691,0
3.0,Indonesia,113.921327,-0.789275,0
3.0,Venezuela,-66.58973,6.42375,0
3.0,Palestine,35.233154,31.952162,0
3.0,Papua New Guinea,143.95555,-6.314993,0
3.0,Pakistan,69.345116,30.375321,0
3.0,Ethiopia,40.489673,9.145,0
3.0,Uganda,32.290275,1.373333,0
3.0,Qatar,51.183884,25.354826,0
3.0,Uruguay,-55.765835,-32.522779,0
3.0,Moldova,28.369885,47.411631,0
3.0,Rwanda,29.873888,-1.940278,0
3.0,Sri Lanka,80.771797,7.873054,0
3.0,Cabo Verde,-24.013197,16.002082,0
3.0,Mozambique,35.529562,-18.665695,0
3.0,Libya,17.228331,26.3351,0
3.0,Philippines,121.774017,12.879721,0
3.0,Laos,102.495496,19.85627,0
3.0,Syria,38.996815,34.802075,0
4.0,Denmark,9.501785,56.26392,B
4.0,FR Germany,10.451526,51.165691,0
4.0,Canada,-106.346771,56.130366,G
4.0,Mexico,-102.552784,23.634501,0
4.0,Finland,25.748151,61.92411,S
4.0,France,2.213749,46.227638,G
4.0,Korea,127.766922,35.907757,B
4.0,Norway,8.468946,60.472024,G
4.0,New Zealand,174.885971,-40.900557,G
4.0,Japan,138.252924,36.204824,G
4.0,Austria,14.550072,47.516231,0
4.0,United States of America,-95.712891,37.09024,G
4.0,Belgium,4.469936,50.503887,S
4.0,Great Britain,-3.435973,55.378051,S
4.0,Sweden,18.643501,60.128161,G
4.0,Switzerland,8.227512,46.818188,S
4.0,Italy,12.56738,41.87194,S
4.0,-,123.0,48.0,0
4.0,Germany,10.451526,51.165691,G
4.0,Poland,19.145136,51.919438,S
4.0,Czech Republic,15.472962,49.817492,G
4.0,Slovakia,19.699024,48.669026,B
4.0,China,104.195397,35.86166,B
4.0,Mongolia,103.846656,46.862496,0
4.0,Turkey,35.243322,38.963745,0
4.0,Russia,105.318756,61.52401,B
4.0,Iran,53.688046,32.427908,0
4.0,Australia,133.775136,-25.274398,S
4.0,Egypt,30.802498,26.820553,S
4.0,Netherlands,5.291266,52.132633,B
4.0,Sudan,30.217636,12.862807,0
4.0,Jamaica,-77.297508,18.109581,0
4.0,Kuwait,47.481766,29.31166,0
4.0,Kenya,37.906193,-0.023559,0
4.0,Israel,34.851612,31.046051,B
4.0,Ireland,-8.24389,53.41291,S
4.0,Portugal,-8.224454,39.399872,S
4.0,Yugoslavia,21.005859,44.016521,S
4.0,Burma,95.956223,21.913965,0
4.0,Hungary,19.503304,47.162494,G
4.0,Brazil,-51.92528,-14.235004,B
4.0,Spain,-3.74922,40.463667,B
4.0,Hong Kong,114.109497,22.396428,0
4.0,Trinidad and Tobago,-61.222503,10.691803,0
4.0,USSR,105.318756,61.52401,0
4.0,Iceland,-19.020835,64.963051,G
4.0,Bahrain,50.637772,25.930414,0
4.0,Bulgaria,25.48583,42.733883,S
4.0,Puerto Rico,-66.590149,18.220833,0
4.0,Nigeria,8.675277,9.081999,0
4.0,South Africa,22.937506,-30.559482,B
4.0,Cuba,-77.781167,21.521757,0
4.0,Panama,-80.782127,8.537981,0
4.0,Slovenia,14.995463,46.151241,B
4.0,Argentina,-63.616672,-38.416097,S
4.0,Serbia,21.005859,44.016521,0
4.0,Algeria,1.659626,28.033886,0
4.0,Dominican Republic,-70.162651,18.735693,0
4.0,Côte Ivoire,-5.54708,7.539989,0
4.0,Belarus,27.953389,53.709807,0
4.0,Ukraine,31.16558,48.379433,S
4.0,Greece,21.824312,39.074208,S
4.0,Estonia,25.013607,58.595272,G
4.0,Lithuania,23.881275,55.169438,0
4.0,Zimbabwe,29.154857,-19.015438,0
4.0,Thailand,100.992541,15.870032,B
4.0,Tunisia,9.537499,33.886917,0
4.0,Chinese Taipei,120.960515,23.69781,0
4.0,Angola,17.873887,-11.202692,0
4.0,Morocco,-7.09262,31.791702,0
4.0,Azerbaijan,47.576927,40.143105,0
4.0,Latvia,24.603189,56.879635,0
4.0,India,78.96288,20.593684,0
4.0,Botswana,24.684866,-22.328474,0
4.0,Saudi Arabia,45.079162,23.885942,0
4.0,Croatia,15.2,45.1,0
4.0,Chile,-71.542969,-35.675147,0
4.0,Fiji,179.414413,-16.578193,0
4.0,Namibia,18.49041,-22.95764,0
4.0,Malaysia,101.975766,4.210484,0
4.0,United Arab Emirates,53.847818,23.424076,0
4.0,Iraq,43.679291,33.223191,0
4.0,Uzbekistan,64.585262,41.377491,0
4.0,Colombia,-74.297333,4.570868,0
4.0,Vietnam,108.277199,14.058324,0
4.0,UNKNOWN,123.0,48.0,0
4.0,Luxembourg,6.129583,49.815273,0
4.0,Faroe Islands,-6.911806,61.892635,0
4.0,Peru,-75.015152,-9.189967,G
4.0,Cyprus,33.429859,35.126413,0
4.0,Singapore,103.819836,1.352083,0
4.0,Kazakhstan,66.923684,48.019573,0
4.0,Jordan,36.238414,30.585164,0
4.0,Bosnia and Herzegovina,17.679076,43.915886,0
4.0,Bahamas,-77.39628,25.03428,0
4.0,East Germany,10.451526,51.165691,0
4.0,Indonesia,113.921327,-0.789275,0
4.0,Venezuela,-66.58973,6.42375,0
4.0,Palestine,35.233154,31.952162,0
4.0,Papua New Guinea,143.95555,-6.314993,0
4.0,Pakistan,69.345116,30.375321,0
4.0,Ethiopia,40.489673,9.145,0
4.0,Uganda,32.290275,1.373333,0
4.0,Qatar,51.183884,25.354826,0
4.0,Uruguay,-55.765835,-32.522779,0
4.0,Moldova,28.369885,47.411631,0
4.0,Rwanda,29.873888,-1.940278,0
4.0,Sri Lanka,80.771797,7.873054,0
4.0,Cabo Verde,-24.013197,16.002082,0
4.0,Mozambique,35.529562,-18.665695,0
4.0,Libya,17.228331,26.3351,0
4.0,Philippines,121.774017,12.879721,0
4.0,Laos,102.495496,19.85627,0
