,longitude,latitude,country,value
0,9.501785,56.26392,Denmark,O
1,10.451526,51.165691,FR Germany,O
2,-106.346771,56.130366,Canada,S
3,-102.552784,23.634501,Mexico,B
4,25.748151,61.92411,Finland,G
5,2.213749,46.227638,France,S
6,127.766922,35.907757,Korea,S
7,8.468946,60.472024,Norway,B
8,174.885971,-40.900557,New Zealand,O
9,138.252924,36.204824,Japan,O
10,14.550072,47.516231,Austria,S
11,-95.712891,37.09024,United States of America,G
12,4.469936,50.503887,Belgium,S
13,-3.435973,55.378051,Great Britain,B
14,18.643501,60.128161,Sweden,G
15,8.227512,46.818188,Switzerland,S
16,12.56738,41.87194,Italy,O
17,123.0,48.0,-,O
18,10.451526,51.165691,Germany,G
19,19.145136,51.919438,Poland,G
20,15.472962,49.817492,Czech Republic,O
21,19.699024,48.669026,Slovakia,O
22,104.195397,35.86166,China,G
23,103.846656,46.862496,Mongolia,B
24,35.243322,38.963745,Turkey,G
25,105.318756,61.52401,Russia,S
26,53.688046,32.427908,Iran,G
27,133.775136,-25.274398,Australia,S
28,30.802498,26.820553,Egypt,S
29,5.291266,52.132633,Netherlands,B
30,30.217636,12.862807,Sudan,O
31,-77.297508,18.109581,Jamaica,O
32,47.481766,29.31166,Kuwait,O
33,37.906193,-0.023559,Kenya,O
34,34.851612,31.046051,Israel,O
35,-8.24389,53.41291,Ireland,O
36,-8.224454,39.399872,Portugal,O
37,21.005859,44.016521,Yugoslavia,O
38,95.956223,21.913965,Burma,O
39,19.503304,47.162494,Hungary,B
40,-51.92528,-14.235004,Brazil,S
41,-3.74922,40.463667,Spain,O
42,114.109497,22.396428,Hong Kong,O
43,-61.222503,10.691803,Trinidad and Tobago,O
44,105.318756,61.52401,USSR,O
45,-19.020835,64.963051,Iceland,O
46,50.637772,25.930414,Bahrain,O
47,25.48583,42.733883,Bulgaria,O
48,-66.590149,18.220833,Puerto Rico,O
49,8.675277,9.081999,Nigeria,G
50,22.937506,-30.559482,South Africa,B
51,-77.781167,21.521757,Cuba,O
52,-80.782127,8.537981,Panama,O
53,14.995463,46.151241,Slovenia,O
54,-63.616672,-38.416097,Argentina,O
55,21.005859,44.016521,Serbia,O
56,1.659626,28.033886,Algeria,O
57,-70.162651,18.735693,Dominican Republic,O
58,-5.54708,7.539989,C̫te Ivoire,O
59,27.953389,53.709807,Belarus,O
60,31.16558,48.379433,Ukraine,G
61,21.824312,39.074208,Greece,B
62,25.013607,58.595272,Estonia,O
63,23.881275,55.169438,Lithuania,O
64,29.154857,-19.015438,Zimbabwe,O
65,100.992541,15.870032,Thailand,B
66,9.537499,33.886917,Tunisia,O
67,120.960515,23.69781,Chinese Taipei,B
68,17.873887,-11.202692,Angola,O
69,-7.09262,31.791702,Morocco,O
70,47.576927,40.143105,Azerbaijan,O
71,24.603189,56.879635,Latvia,O
72,78.96288,20.593684,India,B
73,24.684866,-22.328474,Botswana,O
74,45.079162,23.885942,Saudi Arabia,O
75,15.2,45.1,Croatia,O
76,-71.542969,-35.675147,Chile,O
77,179.414413,-16.578193,Fiji,O
78,18.49041,-22.95764,Namibia,O
79,101.975766,4.210484,Malaysia,B
80,53.847818,23.424076,United Arab Emirates,G
81,43.679291,33.223191,Iraq,S
82,64.585262,41.377491,Uzbekistan,B
83,-74.297333,4.570868,Colombia,O
84,108.277199,14.058324,Vietnam,G
85,123.0,48.0,UNKNOWN,O
86,6.129583,49.815273,Luxembourg,O
87,-6.911806,61.892635,Faroe Islands,O
88,-75.015152,-9.189967,Peru,O
89,33.429859,35.126413,Cyprus,O
90,103.819836,1.352083,Singapore,O
91,66.923684,48.019573,Kazakhstan,S
92,36.238414,30.585164,Jordan,S
93,17.679076,43.915886,Bosnia and Herzegovina,O
94,-77.39628,25.03428,Bahamas,O
95,10.451526,51.165691,East Germany,O
96,113.921327,-0.789275,Indonesia,B
97,-66.58973,6.42375,Venezuela,O
98,35.233154,31.952162,Palestine,O
99,143.95555,-6.314993,Papua New Guinea,O
100,69.345116,30.375321,Pakistan,O
101,40.489673,9.145,Ethiopia,O
102,32.290275,1.373333,Uganda,O
103,51.183884,25.354826,Qatar,O
104,-55.765835,-32.522779,Uruguay,O
105,28.369885,47.411631,Moldova,O
106,29.873888,-1.940278,Rwanda,O
107,80.771797,7.873054,Sri Lanka,O
108,-24.013197,16.002082,Cabo Verde,O
109,35.529562,-18.665695,Mozambique,O
110,17.228331,26.3351,Libya,B
111,121.774017,12.879721,Philippines,B
112,102.495496,19.85627,Laos,B
113,38.996815,34.802075,Syria,B
